task,pool_name,name,units
EXT_KHD_GENERIC_DKHD_RATING_SWWR_ATTRIBUTE_pset,KHD_POOL,cpu,1
EXT_KHD_GENERIC_DKHD_RATING_SWWR_ATTRIBUTE_pset,,API_UTILITY,1
EXT_KHD_GENERIC_DKHD_RATING_SWWR_ATTRIBUTE_pset,,TOOLS,1
REPORTS_TRNS_OMEGA_1_CRW_SWWR_mp,HOST_POOL,cpu,1
OMEGA_SEND_TO_TRAGARZ,HOST_POOL,cpu,1
EXT_KHD_GENERIC_DKHD_DICTIONARIES_VALUES,KHD_POOL,cpu,1
EXT_KHD_GENERIC_DKHD_DICTIONARIES_VALUES,,API_UTILITY,1
EXT_KHD_GENERIC_DKHD_DICTIONARIES_VALUES,,TOOLS,1
 TD_LOAD_GENERIC_ANY_TABLE_TECH_OMEGA_RATING_NO_TECH pset,KHD_POOL,cpu,1
 TD_LOAD_GENERIC_ANY_TABLE_TECH_OMEGA_RATING_NO_TECH pset,,TOOLS,1
 TD_LOAD_GENERIC_ANY_TABLE_TECH_OMEGA_RATING_NO_TECH pset,,API_UTILITY,1
